Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1500 CHESAPEAKE ST, Charlottesville, VA",38.025075,-78.461317,1,range_interpolation,1500,"Chesapeake St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 WERTLAND ST, Charlottesville, VA",38.033911,-78.494229,1,rooftop,1000,"Wertland St",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1500 GREEN ST, Charlottesville, VA",38.016703,-78.480816,1,rooftop,1500,"Green St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"900 1ST ST S, Charlottesville, VA",38.022908,-78.485672,1,rooftop,900,"1st St S",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"1600 MULBERRY AVE, Charlottesville, VA",38.023971,-78.506828,1,rooftop,1600,"Mulberry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"2400 FONTAINE AVE, Charlottesville, VA",38.025784,-78.518964,1,rooftop,2400,"Fontaine Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1400 UNIVERSITY AVE, Charlottesville, VA",38.033951,-78.49996,1,rooftop,1400,"University Ave",,,Charlottesville,VA,"Albemarle County",22903,US,Albemarle
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,"Hardy Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,"Hardy Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 EMMET ST N, Charlottesville, VA",38.051498,-78.5002,1,range_interpolation,1100,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1500 GORDON AVE, Charlottesville, VA",38.039535,-78.498362,1,rooftop,1500,"Gordon Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"700 E MAIN ST, Charlottesville, VA",38.029226,-78.47664,1,rooftop,700,"E Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,"5th St SW",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 CHERRY ST, Charlottesville, VA",38.02485,-78.471272,1,rooftop,1100,"Cherry St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"2200 NORTH BERKSHIRE RD, Charlottesville, VA",38.063304,-78.497708,1,range_interpolation,2200,"N Berkshire Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"TIGER/Line® dataset from the US Census Bureau"
"2100 IVY RD, Charlottesville, VA",38.042471,-78.511905,1,rooftop,2100,"Ivy Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 W MAIN ST, Charlottesville, VA",38.030482,-78.481848,1,rooftop,100,"W Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"200 E WATER ST, Charlottesville, VA",38.02935,-78.480554,1,rooftop,200,"E Water St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"100 EMMET ST, Charlottesville, VA",38.039966,-78.506381,0.9,rooftop,100,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"400 MONROE LN, Charlottesville, VA",38.031716,-78.50267,1,rooftop,400,"Monroe Ln",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
