RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
8800,12,2014-12-22T00:00:00.000Z,DRUID AVE ,37193,Unsexed - 3 Year         ,2015,1100
8801,12,2019-03-26T00:00:00.000Z,UNKNOWN ,37194,Unsexed - 3 Year         ,2015,0
8802,12,2015-02-27T00:00:00.000Z,LOCUST AVE ,37195,Unsexed - 3 Year         ,2015,1100
8803,12,2014-09-08T00:00:00.000Z,PARK ST ,37196,Unsexed - 3 Year         ,2015,1100
8804,12,2020-09-28T00:00:00.000Z,PARK ST ,37197,Unsexed - 3 Year         ,2015,1100
8805,12,2019-01-18T00:00:00.000Z,ELLIOTT AVE ,37198,Unsexed - 3 Year         ,2015,1100
8806,12,2016-11-04T00:00:00.000Z,BLUE RIDGE RD ,37199,Unsexed - 3 Year         ,2015,1900
8807,12,2018-10-16T00:00:00.000Z,RUGBY RD ,37200,Unsexed - 3 Year         ,2015,1300
8808,12,2020-01-09T00:00:00.000Z,BLENHEIM AVE ,37201,Unsexed - 3 Year         ,2015,800
8809,12,2020-09-15T00:00:00.000Z,BLENHEIM AVE ,37202,Unsexed - 3 Year         ,2015,800
8810,12,2015-07-18T00:00:00.000Z,CRESTMONT AVE ,37203,Unsexed - 3 Year         ,2015,2300
8811,12,2018-02-12T00:00:00.000Z,BROAD AVE ,37204,Unsexed - 3 Year         ,2015,1500
8812,12,2020-08-30T00:00:00.000Z,LOCUST LN ,37205,Unsexed - 3 Year         ,2015,900
