"","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type"
"957","-78.482695","38.030748","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Suspicious Activity"
"958","-78.478271","38.040728","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Hit and Run"
"959","-78.481638","38.027754","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Missing Person-juvenile"
"960","-78.48045","38.026588","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Vandalism"
"961","-78.479255","38.030195","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Suspicious Activity"
"962","-78.489597","38.064408","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Burglary"
"963","-78.48045","38.026588","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Hit and Run"
"964","-78.492224","38.060855","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Misc - Criminal Call"
"965","-78.48003","38.029931","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Assault Simple"
"1060","-78.475337","38.03394","2019-12-29","Basketball","Navy","FALSE","TRUE","Missing Person-juvenile"
"1061","-78.475337","38.03394","2019-12-29","Basketball","Navy","FALSE","TRUE","Missing Person-juvenile"
"1062","-78.451608","38.04987","2019-12-29","Basketball","Navy","FALSE","TRUE","Narcotics"
"1063","-78.497998","38.061269","2019-12-29","Basketball","Navy","FALSE","TRUE","Runaway"
"1064","-78.497998","38.061269","2019-12-29","Basketball","Navy","FALSE","TRUE","Runaway"
"1065","-78.479709","38.023421","2019-12-29","Basketball","Navy","FALSE","TRUE","Assault Simple"
"1066","-78.491586","38.039186","2019-12-29","Basketball","Navy","FALSE","TRUE","Assault Simple"
"1067","-78.480746","38.030391","2019-12-29","Basketball","Navy","FALSE","TRUE","Larceny - Shoplifitng"
"1068","-78.471272","38.02485","2019-12-29","Basketball","Navy","FALSE","TRUE","Vandalism"
"1069","-78.48225","38.065057","2019-12-29","Basketball","Navy","FALSE","TRUE","Suspicious Activity"
"1070","-78.481145","38.031682","2019-12-29","Basketball","Navy","FALSE","TRUE","Assist Citizen - Mental/TDO/ECO"
